"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-13","11.63",,"0.01","0.0","0.0",,"56","47","  280","  280","23.9","44.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-14","4.92",,"0.10","0.0","0.0",,"75","48","  230","  220","21.9","38.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-15","5.37",,"0.00","0.0","0.0",,"82","58","   40","   50","17.0","30.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-16","4.25",,"0.00","0.0","0.0",,"73","54","  310","  300","14.1","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-17","6.93",,"0.02","0.0","0.0",,"62","50","   70","   50","15.0","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-18","10.74",,"0.01","0.0","0.0",,"50","45","   60","  100","21.9","35.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-19","5.14",,"0.00","0.0","0.0",,"60","46","   60","   50","13.0","19.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-20","4.25",,"0.05","0.0","0.0",,"71","47","  300","  350","16.1","28.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-21","5.37",,"0.00","0.0","0.0",,"54","42","  270","  280","14.1","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-22","4.03",,"0.00","0.0","0.0",,"64","42","  300","   50","13.0","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-23","4.92",,"0.00","0.0","0.0",,"65","46","  160","  170","17.0","32.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-24","4.92",,"0.00","0.0","0.0",,"74","50","  300","  290","17.0","31.1",,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-25","5.59",,"0.00","0.0","0.0",,"60","43","   50","   40","18.1","28.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-26","4.47",,"0.00","0.0","0.0",,"65","43","  140","  210","12.1","23.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-04-27","3.13",,"0.00","0.0","0.0",,"64","46","  180","  170","12.1","21.9",,,,,
